Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate,Daily_cases
18-05-2020,8:00 AM,-0.6564544423904607,-0.7514642699424389,-0.7143255360908681,-0.7143251763539109,-0.0656532164298613,-0.8972448854880521,0.3420309157161233,-0.16050260380107928,0.13496893824895437,-0.7143255360908681
19-05-2020,8:00 AM,-0.6563543247475704,-0.7514642699424389,-0.7139339201335372,-0.7139335604634941,-0.0656532164298613,-0.8955012861007772,0.22802576969798186,-0.23475395542767155,0.22314540636949196,-0.7139339201335372
20-05-2020,8:00 AM,-0.6562875796523101,-0.7506441387512296,-0.7133366069056889,-0.7133362473377068,-0.0656532164298613,-0.8925058717687919,0.18077689610439474,-0.3798069754864724,0.37881302298778213,-0.7133366069056889
21-05-2020,8:00 AM,-0.6562303695706585,-0.7503707616874932,-0.7130794853175424,-0.7130791257934938,-0.0656532164298613,-0.8913434721772753,0.15457752627953134,-0.4165385704580049,0.4195782972561193,-0.7130794853175424
22-05-2020,8:00 AM,-0.656158856968594,-0.7503707616874932,-0.7125138178236199,-0.712513458396225,-0.0656532164298613,-0.8884821808750804,0.04343852711047865,-0.5155301363276447,0.5332725475716669,-0.7125138178236199
23-05-2020,8:00 AM,-0.6560349017916822,-0.7503707616874932,-0.711967928913401,-0.7119675695792803,-0.0656532164298613,-0.8859785509856598,-0.04652355866058316,-0.568985434768818,0.5974985222876621,-0.711967928913401
24-05-2020,8:00 AM,-0.6559824592168348,-0.7500973846237567,-0.7111134940974062,-0.71111313490928,-0.0656532164298613,-0.8814183679727867,-0.13918306504948658,-0.6986888690123395,0.7414591918789304,-0.7111134940974062
25-05-2020,8:00 AM,-0.655763153903837,-0.7500973846237567,-0.710599250921113,-0.7105988918208539,-0.0656532164298613,-0.8795406455557213,-0.19852869762979025,-0.6877720610358028,0.7356903262403588,-0.710599250921113
26-05-2020,8:00 AM,-0.6555200110568177,-0.7495506304962839,-0.7102313692642264,-0.710231010226826,-0.0656532164298613,-0.8786464920237854,-0.19587442997626564,-0.6473099473853179,0.6932624130401345,-0.7102313692642264
27-05-2020,8:00 AM,-0.6553150082642327,-0.7495506304962839,-0.709831841873414,-0.7098314829042796,-0.0656532164298613,-0.8773499694024783,-0.2355554099654738,-0.6289903818380107,0.6779179236525407,-0.709831841873414
28-05-2020,8:00 AM,-0.6551576805396908,-0.7487304993050746,-0.7092978201134172,-0.7092974612355293,-0.0656532164298613,-0.8751369394109371,-0.22823103327335348,-0.6477289662190802,0.6967582283197091,-0.7092978201134172
29-05-2020,8:00 AM,-0.6549050026790629,-0.7487304993050746,-0.7088429126882348,-0.7088425538880754,-0.0656532164298613,-0.8737510014364364,-0.2674840653058551,-0.6224759462191819,0.6741459726867666,-0.7088429126882348
