Date,Cured,Death,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate,Daily_cases
30-01-2020,-0.6597822350845212,-0.7954099983412277,-0.7091600500778228,-0.7090906558474461,-0.5996540129072324,-0.9073276344251271,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025169989623757
31-01-2020,-0.6597822350845212,-0.7954099983412277,-0.7091600500778228,-0.7090906558474461,-0.5996540129072324,-0.9073276344251271,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
01-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091596396987219,-0.7090902454692024,-0.5996540129072324,-0.9073248416887508,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025169989623757
02-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025169989623757
03-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
04-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
05-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
06-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
07-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
08-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
09-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
10-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
11-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
12-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
13-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
14-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
15-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
16-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
17-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
18-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
19-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
20-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
21-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
22-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
23-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
24-02-2020,-0.6597822350845212,-0.7954099983412277,-0.7091592293196209,-0.7090898350909586,-0.5996540129072324,-0.9073220489523747,-1.9045837172553859,-1.468221993306755,1.521179632997616,-0.9025478924651995
